german,englich
Ankunft,arrival
besetzt,Occupies
Durchwahl ,Extension
H√∂fliche Bitte,Polite request 
Abgeholt,Retrieved 
Ziele,Goals
W√ºnsche,wishes
Heimat,Home
Auf keinen Fall ,No Way 
Das geht leider nicht ,Unfortunately it is not possible
M√∂gen ,Like
K√∂nnen,Can
M√ºssen ,Need/must 
Wollen ,Want to
fährt ab,leaves
fliegt ab,takes off
gibt ab,gives off
nimmt ab,decreases
schließt ab,Complete
biete an,to offer
fängt an,begins
hält an,holds on
kommt an,gets on
ruft an,calls
sieht an,looks at
zieht an,attracts
steht auf,stands up
tritt auf,occurs
fällt aus,was Cancelled
gibt aus,gives out
geht aus,comes from
leiht aus,borrow
schläft aus,sleep out
sieht aus,looks
steight aus,climb out
zieht aus,moves out
backt,baking
beginnt,begins
behält,keep
bekommt,receives
berät,advises
beschreibt,describes
bespricht,discussion
bietet,offers
bittet,asks
bleibt,remains
brät,fry
brennt,burning
bringt,brings
denkt,thinks
lädt ein,invites
schläft ein,falls asleep
steigt ein,get in
enthält,contains
entscheidet,decide
entsteht,is created
erkennt,recognizes
isst,eats
fährt,moves
fällt,fall
sieht fern,watches tv
findet,find
fliegt,flies
hat frei,is off
gibt,gives
gefällt,pleases
geht,goes
gilt,applies
genießt,enjoy
gewinnt,wins
gießt,pour
hat,has
hält,holds
hängt,hangs
heißt,is called
hilft,helps
lädt herunter,load down
ghet kaputt,Ghet broken
kennt,knows
klingt,sounds
kommt,comes
läuft,running
tut leid,sorry
leiht aus,borrow
liest,reads
liegt,lies
bringt mit,bring with
kommt mit,comes with
läuft mit,runs with
nimmt mit,takes with
mag,like
nimmt,takes
nennt,calls
pfeift,whistle
geht raus,go out
reitet,rode
riecht,smells
scheint,appears
schief,wrong
schläft,is sleeping
schlägt,beats
schließt,closes
schneidet,cuts
schreibt,writes
schreit,cries
schwimmt,swims
sieht,sees
ist,is
singt,sings
sitzt,sitting
geht spazieren,go for a walk
spericht,sparrow
springt,jump
findet statt,takes place
steht auf,stands up
stirbt,dies
streitet,ardent
stößt,bumps
nimmt teil,takes part
trägt,carries
trifft,meets
trinkt,drink
übernimmt,takes over
steigt um,rises
zieht um,moves
unterhält,entertains
unternimmt,undertaked
unterschreibt,sign
verbindet,connected
verbrennt,burned
vergisst,forgets
verhält,behave
verlässt,leaves
verliert,losing
verschiebt,shifting
verschläft,oversight
versteht,understands
liest vor,read before
schlägt vor,suggest
spricht vor,speaks before
kommt vorbei,come over
wächst,grows
wäscht,wash
fährt weg,drives away
fliegt weg,flies away
läuft weg,running away
wirft weg,throw away
tut weh,hurts
wird,becomes
wirft,throws
widerspricht,contradict
kommt wieder,comes again
weiß,white
kommt zuruck,come back
liegt zuruck,lay's back
halten zusammen,hold together